,x,y,z,score
0,0.0,1.0,0.0,0.39570079824122406
1,0.417,0.065,0.907,0.41635404189348457
2,-0.372,-0.889,-0.266,0.0524681069321043
3,0.612,0.739,0.283,0.09392202359603227
4,-0.002,-0.196,0.981,0.9097244636142937
5,-0.264,0.729,-0.632,0.09509354277847346
6,0.662,-0.206,-0.72,0.7486155554232016
7,-0.235,0.719,0.654,0.1285850554240987
8,-0.973,-0.216,0.084,0.12051871898279864
9,0.148,0.97,-0.193,0.312778614717869
10,0.625,0.709,-0.328,0.022654050972561568
11,0.772,-0.226,0.594,0.09543797572661455
12,-0.692,0.698,-0.182,0.3295552915260821
13,-0.168,-0.236,-0.957,0.5976698628676772
14,0.975,0.035,0.221,0.11549692096099648
15,0.392,0.688,0.61,0.030048345450993302
16,-0.522,-0.246,0.817,0.5920297630693512
17,0.124,0.678,-0.724,0.051612789791716684
18,0.934,-0.256,-0.249,0.08532630240496364
19,-0.588,0.668,0.455,0.126896061043637
20,-0.855,-0.266,-0.446,0.15636531464534906
21,0.09,-0.899,0.427,0.20534680314154435
22,0.75,0.658,0.062,0.05073585434928257
23,0.328,-0.276,0.903,1.1764195915157745
24,-0.517,0.648,-0.559,0.11846508909776315
25,0.367,-0.286,-0.885,0.46303765240788164
26,0.004,0.638,0.77,0.25476381921132385
27,-0.866,-0.296,0.403,0.03974265025680379
28,0.523,0.628,-0.576,0.08908079955592771
29,0.908,-0.307,0.286,0.3179452858002831
30,-0.783,0.618,0.073,0.4114755400735571
31,-0.474,-0.317,-0.822,0.1544431993929169
32,-0.276,0.96,0.049,0.5227709704218421
33,0.632,0.608,0.48,0.09291961471544219
34,-0.204,-0.327,0.923,0.9334061768289749
35,-0.143,0.598,-0.789,0.13970551862969044
36,0.771,-0.337,-0.54,0.5650531204396851
37,-0.431,0.588,0.685,0.3212935475366173
38,-0.57,0.025,-0.822,0.12029443601842615
39,-0.93,-0.347,-0.122,0.06236256228258441
40,0.787,0.578,-0.216,0.11226744011740752
41,0.601,-0.357,0.715,0.2794591747992332
42,-0.732,0.568,-0.376,0.28057131112020006
43,0.04,-0.367,-0.929,0.7494510858874177
44,0.211,-0.91,-0.358,0.10959996786747517
45,0.289,0.558,0.778,0.17405479305373242
46,-0.654,-0.377,0.655,0.24292889833028355
47,0.315,0.548,-0.775,0.14400530723145627
48,0.921,-0.387,-0.041,0.2797019236239995
49,-0.762,0.538,0.361,0.21387126919880042
50,-0.704,-0.397,-0.589,0.12496711784377598
51,0.812,0.528,0.25,0.07395836376431239
52,0.12,-0.407,0.905,1.05706220102555
53,-0.433,0.518,-0.738,0.06688948860149607
54,0.52,-0.417,-0.745,0.7436216573116579
55,0.264,0.95,0.168,0.2579885296896042
56,-0.181,0.508,0.842,0.48617135777634124
57,-0.882,-0.427,0.197,0.05090312516519299
58,0.707,0.497,-0.502,0.06454502001517604
59,0.78,-0.437,0.448,0.20655059943766857
60,-0.866,0.487,-0.108,0.5191416050705987
61,-0.27,-0.447,-0.853,0.2975731795121084
62,-0.322,-0.869,0.375,0.07249235254986647
63,-0.135,0.015,0.991,1.3193110937185728
64,0.57,0.477,0.669,0.13024796997077523
65,-0.374,-0.457,0.807,0.41451028645004245
66,0.032,0.467,-0.883,0.3216320808618276
67,0.816,-0.467,-0.34,0.49395507051662346
68,-0.624,0.457,0.633,0.2547142249231258
69,-0.376,-0.92,0.114,0.10167421108568236
70,-0.826,-0.477,-0.299,0.04707108684048916
71,0.893,0.447,-0.046,0.08650065524175782
72,0.405,-0.487,0.774,0.6612634087478012
73,-0.693,0.437,-0.573,0.16554001586736913
74,0.223,-0.497,-0.838,0.7722909837794171
75,0.125,0.427,0.896,0.4248492070423894
76,-0.726,-0.508,0.465,0.09982365097319554
77,0.515,0.417,-0.749,0.16575496280244992
78,0.843,-0.518,0.146,0.37721438172178445
79,-0.89,0.407,0.205,0.36352767858726176
80,-0.089,0.94,-0.33,0.3496396162247582
81,-0.519,-0.528,-0.672,0.1865360238488053
82,0.799,0.397,0.452,0.09267171870132412
83,-0.071,-0.538,0.84,0.599589018389542
84,-0.285,0.387,-0.877,0.28478422104629375
85,0.615,-0.548,-0.567,0.9849533424768262
86,0.769,0.005,-0.639,0.28738143810943795
87,-0.384,0.377,0.843,0.7555648090336471
88,-0.83,-0.558,0.003,0.040267370498958927
89,0.856,0.367,-0.363,0.10181346473669706
90,0.609,-0.568,0.554,0.5568418862691799
91,-0.881,0.357,-0.312,0.43725189059985026
92,-0.074,-0.578,-0.813,0.32843692904107225
93,0.332,-0.93,0.159,0.4440677406914194
94,0.44,0.347,0.828,0.23099976617624438
95,-0.49,-0.588,0.644,0.18671589021392904
96,0.236,0.337,-0.912,0.4485513121526179
97,0.789,-0.598,-0.142,0.6188123775244141
98,-0.792,0.327,0.515,0.21437997567307848
99,-0.671,-0.608,-0.424,0.048788095773909024
100,0.936,0.317,0.156,0.08027219850654749
101,0.207,-0.618,0.758,0.5470793855666624
102,-0.586,0.307,-0.75,0.10818450786292275
103,0.356,-0.628,-0.692,0.6813713197565234
104,-0.17,0.93,0.327,0.2948846498915456
105,-0.074,0.296,0.952,0.8031451961614108
106,-0.722,-0.638,0.266,0.06858084269158873
107,0.7,0.286,-0.654,0.23283058451587554
108,0.705,-0.648,0.288,0.2372883979316927
109,-0.961,0.276,0.009,0.4494355613637284
110,-0.999,-0.005,-0.048,0.28596176137888407
111,-0.321,-0.658,-0.681,0.11050832690898027
112,0.717,0.266,0.644,0.15233783834877393
113,-0.22,-0.668,0.71,0.285146644017017
114,-0.094,0.256,-0.962,0.5755034365901156
115,0.634,-0.678,-0.37,0.9875096073101302
116,-0.128,-0.94,-0.317,0.11149424456504195
117,-0.582,0.246,0.775,0.4055225732481986
118,-0.709,-0.688,-0.153,0.037826525947866646
119,0.955,0.236,-0.179,0.06849800129423572
120,0.413,-0.698,0.584,0.5153112762775454
121,-0.827,0.226,-0.515,0.2854025256355307
122,-0.104,0.99,-0.096,0.4478083869941743
123,0.088,-0.709,-0.7,0.24411442224538435
124,0.263,0.216,0.94,0.5101923775931995
125,-0.53,-0.719,0.45,0.11703803944833516
126,0.443,0.206,-0.873,0.4723077340712868
